epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5099,1.53315,2.3911,1.54931,0.33201,0.23748,0.18562,0.08987,1.80279,2.73191,1.74275,0.0016578,0.0016578,0.0685018
2,77.4941,1.5673,1.95187,1.54751,0.36339,0.28655,0.18291,0.09421,1.71654,4.54391,1.69586,0.00315991,0.00315991,0.0366705
3,115.158,1.55489,1.89354,1.54066,0.50548,0.2333,0.2323,0.1265,1.62731,2.58357,1.63968,0.00449701,0.00449701,0.00467432
4,151.911,1.48268,1.74295,1.48787,0.42769,0.31162,0.30712,0.17728,1.53558,1.96105,1.54626,0.0042575,0.0042575,0.0042575
5,188.822,1.40307,1.64728,1.42686,0.4553,0.34229,0.32827,0.1989,1.41923,1.92769,1.46828,0.00401,0.00401,0.00401
6,225.658,1.32858,1.57019,1.38778,0.50329,0.37208,0.36303,0.21923,1.40939,1.74492,1.45064,0.0037625,0.0037625,0.0037625
7,262.536,1.28673,1.49203,1.35555,0.39117,0.45912,0.39687,0.25214,1.31239,1.56608,1.39836,0.003515,0.003515,0.003515
8,299.883,1.23522,1.43668,1.33013,0.43431,0.40666,0.40692,0.2639,1.2752,1.64693,1.37376,0.0032675,0.0032675,0.0032675
9,336.752,1.19333,1.38163,1.29577,0.37124,0.41672,0.38265,0.24509,1.29837,1.58199,1.37245,0.00302,0.00302,0.00302
10,373.403,1.16351,1.32852,1.27567,0.57961,0.42109,0.42865,0.27952,1.2469,1.43911,1.34201,0.0027725,0.0027725,0.0027725
11,411.43,1.12363,1.28278,1.2524,0.467,0.47932,0.45011,0.30174,1.20831,1.37214,1.3145,0.002525,0.002525,0.002525
12,448.148,1.09067,1.24911,1.23225,0.4598,0.51779,0.45899,0.30935,1.16121,1.35204,1.28895,0.0022775,0.0022775,0.0022775
13,485.005,1.07326,1.20418,1.22266,0.49959,0.48723,0.47509,0.31988,1.1446,1.29203,1.27984,0.00203,0.00203,0.00203
14,521.518,1.03712,1.1561,1.19774,0.63489,0.43952,0.47407,0.32685,1.12938,1.2814,1.26772,0.0017825,0.0017825,0.0017825
15,558.281,0.9993,1.10139,1.1779,0.56104,0.49431,0.49523,0.3442,1.11527,1.22862,1.2617,0.001535,0.001535,0.001535
16,595.146,0.9686,1.06603,1.15788,0.55069,0.49501,0.50542,0.34742,1.11201,1.2028,1.25364,0.0012875,0.0012875,0.0012875
17,631.648,0.93128,1.00715,1.13124,0.59705,0.5224,0.52743,0.37155,1.08226,1.16434,1.23867,0.00104,0.00104,0.00104
18,668.497,0.90677,0.95863,1.11831,0.54678,0.5113,0.51608,0.36711,1.07904,1.15204,1.23679,0.0007925,0.0007925,0.0007925
19,705.193,0.87511,0.92122,1.10009,0.50805,0.56126,0.53417,0.3826,1.03649,1.12477,1.21844,0.000545,0.000545,0.000545
20,741.853,0.84797,0.86946,1.0831,0.57262,0.51495,0.53375,0.38199,1.0463,1.12425,1.22207,0.0002975,0.0002975,0.0002975
