,map50,map50_95,precision,recall,f1
dress,0.7869,0.4396,0.7784,0.7123,0.7439
pants,0.717,0.385,0.8336,0.4822,0.611
shoe,0.6917,0.3133,0.8713,0.5565,0.6792
skirt,0.4103,0.2194,0.7031,0.092,0.1627
jacket,0.4041,0.2081,0.6818,0.0372,0.0706
"top, t-shirt, sweatshirt",0.3995,0.1737,0.6938,0.1073,0.1859
glasses,0.3288,0.095,0.8,0.025,0.0485
"shirt, blouse",0.1277,0.0484,0.0,0.0,0.0
"tights, stockings",0.0928,0.0279,0.0,0.0,0.0
"bag, wallet",0.0749,0.0243,0.0,0.0,0.0
belt,0.0332,0.0094,0.0,0.0,0.0
