,map50,map50_95,precision,recall,f1
ssd_sgd_lr001,0.45,0.2633,0.6387,0.572,0.6035
ssd_sgd_lr005,0.4153,0.2422,0.6443,0.55,0.5935
ssd_adam_lr0005,0.323,0.161,0.6404,0.4429,0.5236
