,map50,map50_95,precision,recall,f1
yolo_adam_mosaic,0.5519,0.4011,0.5828,0.5578,0.57
yolo_adam_lr001,0.5343,0.3896,0.5812,0.5369,0.5582
yolo_sgd_lr01,0.5341,0.3856,0.5799,0.5411,0.5598
yolo_adam_lr005,0.4915,0.349,0.523,0.5068,0.5147
