,map50,map50_95,precision,recall,f1
YOLOv8n,0.534,0.39,0.581,0.537,0.558
Faster R-CNN,0.565,0.384,0.636,0.73,0.68
SSD,0.413,0.243,0.64,0.549,0.591
EfficientDet,0.3697,0.1767,0.8262,0.3474,0.4892
DETR,0.2135,0.1117,0.3401,0.4367,0.3824
