epoch,train_loss,bbox_regression,classification,lr,time_s
1,5.598607,1.199853,4.398754,0.001,66.2
2,3.746151,0.863223,2.882928,0.001,66.0
3,3.222561,0.700983,2.521578,0.001,65.6
4,2.822334,0.587439,2.234894,0.001,65.7
5,2.474277,0.50083,1.973447,0.001,66.0
6,2.181826,0.436037,1.745789,0.001,64.8
7,1.943043,0.389691,1.553351,0.001,66.5
8,1.724465,0.349675,1.374791,0.001,65.8
9,1.534884,0.316879,1.218005,0.001,65.9
10,1.377902,0.293431,1.084472,0.001,65.8
11,1.231834,0.27006,0.961774,0.001,65.6
12,1.098281,0.249441,0.84884,0.001,65.5
13,0.983612,0.233465,0.750147,0.001,65.4
14,0.898563,0.216135,0.682428,0.0001,66.2
15,0.705332,0.157665,0.547667,0.0001,65.5
16,0.643365,0.143317,0.500048,0.0001,66.0
17,0.614304,0.137227,0.477077,0.0001,66.2
18,0.595066,0.133732,0.461334,0.0001,65.8
19,0.577648,0.130577,0.447071,0.0001,65.7
20,0.56304,0.127743,0.435296,0.0001,65.9
